InvoiceNumber,InvoiceDate,CustomerCode,ProductCode,BaseQty,NetAmount,DiscountAmount,UnitPrice,ProductNameTH,GroupNameLevel1,GroupNameLevel2
HSR61C02473,20220607,JTG001483,10000566,24,183.18,8.0,8.5,เอ็มเกลือแร่ 250มล เหลือง 1x24,M-ELECTROLYTE,SPORT DRINK
IVA582201496,20220527,ASC001112,10000566,24,183.18,8.0,8.5,เอ็มเกลือแร่ 250มล เหลือง 1x24,M-ELECTROLYTE,SPORT DRINK
HSO02C02082,20220402,BBW002586,10000399,20,196.26,0.0,10.5,ลิโพวิตัน-ดี ฉลากใหม่ 100มล. 1x5x10,LIPO,ENERGY DRINK
HSZ41C01625,20220406,KNB000191,10000600,20,196.26,0.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSS26C03032,20220709,KNS024966,10000600,20,196.26,0.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSO03C01329,20220323,BBW013831,10000603,20,249.22,3.33,13.5,ซี-วิท ออเร้นจ์ 140 มล. 1x3x10,C-VITT,REFRESHMENT
HSO03C02394,20220521,BBW013829,10000603,20,249.22,3.33,13.5,ซี-วิท ออเร้นจ์ 140 มล. 1x3x10,C-VITT,REFRESHMENT
HSO06C03570,20220727,BBW011668,10000628,20,249.22,3.33,13.5,ซี-วิท ออเร้นจ์ 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HSV88C01479,20220408,KCS002575,10000628,20,249.22,3.33,13.5,ซี-วิท ออเร้นจ์ 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HSO06C02282,20220526,BBW021347,10000602,30,373.83,5.0,13.5,ซี-วิท เลมอน 140 มล. 1x3x10,C-VITT,REFRESHMENT
HSO41C01093,20220331,JSS004949,10000603,30,373.83,5.0,13.5,ซี-วิท ออเร้นจ์ 140 มล. 1x3x10,C-VITT,REFRESHMENT
HSO44C00395,20220216,JSS005801,10000603,30,373.83,5.0,13.5,ซี-วิท ออเร้นจ์ 140 มล. 1x3x10,C-VITT,REFRESHMENT
HSAH2C00161,20220420,JSS004888,10000603,30,373.83,5.0,13.5,ซี-วิท ออเร้นจ์ 140 มล. 1x3x10,C-VITT,REFRESHMENT
HSAG9C00434,20220511,BBD010690,10000627,30,373.83,5.0,13.5,ซี-วิท เลมอน 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HST22C00974,20220424,EKR000608,10000627,30,373.83,5.0,13.5,ซี-วิท เลมอน 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HSR61C02203,20220517,JTG000531,10000628,30,373.83,5.0,13.5,ซี-วิท ออเร้นจ์ 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HSO43C02226,20220728,JSS000761,10000629,30,373.83,5.0,13.5,ซี-วิท ทับทิม 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HSR61C01342,20220318,JTG003505,10000504,50,392.52,5.0,8.5,โสมอินซัม น้ำตาล 6% 100 มล.(1x5x10),SOM IN SUM,ENERGY DRINK
HSV61C01950,20220613,EKP001740,10000504,50,392.52,5.0,8.5,โสมอินซัม น้ำตาล 6% 100 มล.(1x5x10),SOM IN SUM,ENERGY DRINK
HSU01C00966,20220311,HTW010874,10000586,50,392.52,5.0,8.5,เอ็ม-150  กระชายดำ BK 100มล. 1x5x10,M-150,ENERGY DRINK
HSV92C00429,20220205,KCS001974,10000378,50,401.87,5.0,10.5,เอ็ม-150 วิตามิน บี6 บี12 150 มล. 1x5x10,M-150,ENERGY DRINK
HSO04C03819,20220728,BBW012211,10000512,50,485.98,5.0,10.5,ลิโพวิตัน-ดี 100มล 1X5X10,LIPO,ENERGY DRINK
HSP89C01236,20220225,PCP001800,10000512,50,485.98,5.0,10.5,ลิโพวิตัน-ดี 100มล 1X5X10,LIPO,ENERGY DRINK
HST79C01063,20220427,BBD001134,10000512,50,485.98,5.0,10.5,ลิโพวิตัน-ดี 100มล 1X5X10,LIPO,ENERGY DRINK
HSS92C00502,20220210,PET012823,10000512,50,485.98,5.0,10.5,ลิโพวิตัน-ดี 100มล 1X5X10,LIPO,ENERGY DRINK
HSV64C02495,20220517,EKP000066,10000600,50,485.98,5.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSB88C03148,20220617,BBW020502,10000600,50,485.98,5.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HST24C01860,20220510,EKR012013,10000600,50,485.98,5.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSO43C01933,20220705,JSS004726,10000600,50,485.98,5.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSO48C00997,20220318,JSS000677,10000600,50,485.98,5.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HST26C00410,20220607,EKR000496,10000600,50,485.98,5.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HS792209931,20220628,STW026021,10000600,50,485.98,5.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSAJ9C00405,20220712,EKP001740,10000640,50,485.98,5.0,10.5,ลิโพวิตัน-ดี ราฟเฟิล2022 100มล 1X5X10,LIPO,ENERGY DRINK
HST24C03406,20220722,EKR000860,10000640,50,485.98,5.0,10.5,ลิโพวิตัน-ดี ราฟเฟิล2022 100มล 1X5X10,LIPO,ENERGY DRINK
HSO06C02921,20220630,BBW013743,10000600,100,971.96,10.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSS26C02691,20220615,KNS026514,10000600,100,971.96,10.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
IVA542201969,20220524,ASC002570,10000600,100,971.96,10.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSO03C02219,20220514,BBW014056,10000600,100,971.96,10.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
