InvoiceNumber,InvoiceDate,CustomerCode,ProductCode,BaseQty,NetAmount,DiscountAmount,UnitPrice,ProductNameTH,GroupNameLevel1,GroupNameLevel2
HSQ48C01916,20220610,KCM001852,10000600,30,294.39,0.0,10.5,เอ็ม-150 ไฮ วิตามินบี12 150มล. 1x5x10,M-150,ENERGY DRINK
HSAA2C00388,20220226,ACW005539,10000602,10,125.0,1.25,13.5,ซี-วิท เลมอน 140 มล. 1x3x10,C-VITT,REFRESHMENT
HS792212034,20220728,STW026021,10000603,5,63.08,0.0,13.5,ซี-วิท ออเร้นจ์ 140 มล. 1x3x10,C-VITT,REFRESHMENT
HSNN7C00975,20220401,ACW006754,10000604,10,125.0,1.25,13.5,ซี-วิท ทับทิม 140 มล. 1x3x10,C-VITT,REFRESHMENT
HSP89C01174,20220223,PCP001830,10000604,10,125.23,1.0,13.5,ซี-วิท ทับทิม 140 มล. 1x3x10,C-VITT,REFRESHMENT
IVC32201449,20220614,ASC002588,10000627,90,1121.5,15.0,13.5,ซี-วิท เลมอน 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HST79C01513,20220530,BBD002756,10000627,10,124.83,1.43,13.5,ซี-วิท เลมอน 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
IVC32201446,20220614,ASC002585,10000628,90,1121.5,15.0,13.5,ซี-วิท ออเร้นจ์ 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HSV63C03251,20220608,EKP003339,10000628,60,747.66,10.0,13.5,ซี-วิท ออเร้นจ์ 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HSAG9C00200,20220423,BBD001397,10000629,60,750.0,7.5,13.5,ซี-วิท ทับทิม 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HSAH5C01143,20220609,JBO003753,10000629,20,250.47,2.0,13.5,ซี-วิท ทับทิม 10ปี 140มล 1x3x10,C-VITT,REFRESHMENT
HSR64C01774,20220423,JTG000603,10000640,150,1443.93,30.0,10.5,ลิโพวิตัน-ดี ราฟเฟิล2022 100มล 1X5X10,LIPO,ENERGY DRINK
